Minisector,HUL,GAS,Fastest
0,305.549846382399,304.15355164160155,HUL
1,322.51618420266664,321.71708413415985,HUL
2,332.1554896870799,329.5032636165079,HUL
3,309.95626845333334,306.39016647162794,HUL
4,160.9335234918927,155.1040266288845,HUL
5,204.1394876779221,208.9596364838788,GAS
6,234.66152955847167,233.34452887923248,HUL
7,268.859847825989,268.9977425511111,GAS
8,247.58481978412698,244.56213472858497,HUL
9,154.39181742540882,156.89993203105763,GAS
10,220.81348588738834,218.27748882615396,HUL
11,122.41387053645066,124.0158541657201,GAS
12,232.59666807926902,220.8214761114084,HUL
13,177.8286846216322,171.6373163290771,HUL
14,217.81629553421845,213.50624879612857,HUL
15,240.91888621978126,242.60003918501397,GAS
16,269.97132533391056,266.53642870718613,HUL
17,301.6932950857143,288.53534095327734,HUL
18,147.3749261400816,148.9629290605848,GAS
19,168.29021831619048,161.6747642185145,HUL
20,135.34585724163708,136.8936809088025,GAS
21,235.8452431985489,227.50563992976805,HUL
22,265.3771318056755,260.9644460047331,HUL
23,249.83956628502165,249.7673983460338,HUL
24,282.3752518872188,276.4692418963044,HUL
25,,289.1874976,GAS
