Minisector,OCO,ALB,Fastest
0,295.01819197142856,302.0185558986114,ALB
1,304.60885888581004,315.6363948843537,ALB
2,311.1141026461538,323.4769233230769,ALB
3,309.5243525937871,327.96879741253963,ALB
4,187.7041120132505,221.32729358447835,ALB
5,97.55196274311024,96.39212432826052,OCO
6,199.3398124679833,195.993510770068,OCO
7,253.76862775574227,250.02747458349435,OCO
8,280.2537740271524,283.18316526346564,ALB
9,288.34401073333333,293.4436110933333,ALB
10,149.75176778224858,159.31352596048697,ALB
11,173.70800119466665,164.33132698989544,OCO
12,235.42415341938073,232.34934293333333,OCO
13,241.3289855118753,237.6017113437094,OCO
14,154.36999206042694,152.3185439758884,OCO
15,209.8357757652489,202.0398548099773,OCO
16,259.1399517605698,255.04858165298816,OCO
17,280.8066669511111,276.6763024666667,OCO
18,293.6049633870252,287.4313494857143,OCO
19,301.8925015807789,294.5580557511111,OCO
20,279.69408146666666,284.4132127739288,ALB
21,146.0943174024526,152.79556449032256,ALB
22,204.76390775440578,204.47233263011015,OCO
23,257.17489576694675,252.7397061647059,OCO
24,280.756750231735,276.56250066666666,OCO
25,,284.48333333333335,ALB
