Minisector,SAI,STR,Fastest
0,263.1427872,263.08880179753936,SAI
1,248.65540424691358,246.81975237530864,SAI
2,169.20486998696742,166.87639880298678,SAI
3,247.3744434093827,249.31113540347383,STR
4,273.34916612266665,267.52283332266666,SAI
5,198.17621330935253,194.02614075069246,SAI
6,125.13215974544289,124.40827833486159,SAI
7,160.36680277727058,153.90257701220304,SAI
8,256.34986779674364,255.92899856112533,SAI
9,188.36760640915332,190.05398093924305,STR
10,184.54351980427617,178.2116280951678,SAI
11,253.35935938520754,256.8089443039255,STR
12,244.23311288888888,241.10219352382214,SAI
13,261.7940840859339,255.0390154120175,SAI
14,283.74032974448494,280.02741054617053,SAI
15,291.1389516057971,283.5359871581694,SAI
16,152.79782797612705,149.87900315120498,SAI
17,237.55368381736602,236.20874614610628,SAI
18,282.4401408294667,282.0587426289539,SAI
19,296.20887656811595,294.71819353706,SAI
20,300.25544097342674,299.2530303515152,SAI
21,305.3131221887446,302.57007573333334,SAI
22,158.98104945192352,155.75232073965051,SAI
23,94.17780024697427,93.04308525169156,SAI
24,178.47366297942423,187.48615098298666,STR
25,242.3,,SAI
