Minisector,RIC,LEC,Fastest
0,253.7993064002867,256.59767523266186,LEC
1,204.00871146706632,198.57503664765346,RIC
2,220.53360347040993,221.9789826940115,LEC
3,262.3168484957945,263.0135812838626,LEC
4,275.20459673444225,276.62713620666403,LEC
5,223.6724128639586,220.55879991929052,RIC
6,99.16231164448804,95.58601523534843,RIC
7,186.53881121880167,183.33054156703884,RIC
8,268.8846696006417,277.80128997381615,LEC
9,291.7484310189974,302.90931325956126,LEC
10,301.4765281635119,314.61240529653867,LEC
11,300.7776861071241,314.56187091420634,LEC
12,116.84760504828942,107.32318200347498,RIC
13,215.179227753094,216.05137497709512,LEC
14,274.1062901571746,280.55821839586275,LEC
15,293.9452026829548,299.2547120388259,LEC
16,226.4027719962829,222.65912072931732,RIC
17,123.84528126834401,123.2329513312071,RIC
18,154.0765422802305,148.24889205414001,RIC
19,251.09356127357637,256.26149077128446,LEC
20,157.8343584343864,146.89908904814735,RIC
21,130.0123374225168,125.10294355487987,RIC
22,202.92502115229098,198.68718935417488,RIC
23,209.20622379146974,192.44906094753028,RIC
24,169.19490637807286,164.94064154084276,RIC
