Minisector,VET,GAS,Fastest
0,250.74842151947433,250.77221904598932,GAS
1,125.97840477913559,116.20985203554994,VET
2,256.8623410670442,260.3638648455214,GAS
3,300.77156572617145,304.9894051558045,GAS
4,302.9897518380513,308.0990963901876,GAS
5,310.9369492856201,319.35269282816427,GAS
6,314.88761674026665,332.5294487812358,GAS
7,315.60220780524554,336.05050852034896,GAS
8,183.9027772390911,178.664431911549,VET
9,183.62198050288973,173.49589268791289,VET
10,175.51396678910254,173.26650522028947,VET
11,166.74018965659045,162.4473774250441,VET
12,249.9662329251423,243.00425324675325,VET
13,266.3480507810131,257.59671828171827,VET
14,275.6087935218017,266.13541870082105,VET
15,263.52621302962234,272.43720164609056,GAS
16,163.43041474445104,162.9965026585254,VET
17,169.69950725370882,175.77941511467583,GAS
18,230.4139927156487,224.1638648769511,VET
19,275.7844801281129,278.5219766009102,GAS
20,298.061903534417,301.0328455632276,GAS
21,307.08850094692536,309.65791666666667,GAS
22,306.26443745474296,307.97058861542666,GAS
23,243.48275514597404,263.2391914216052,GAS
24,108.05848800507667,110.54427269464857,GAS
25,223.1818181818182,220.33928685714284,VET
