Minisector,LAT,NOR,Fastest
0,278.9925795317216,270.7930380421602,LAT
1,302.0761824018546,290.7049072998068,LAT
2,280.0986230514436,259.9355391075481,LAT
3,146.82908239563858,148.75727686367867,NOR
4,179.54470358910507,183.695728915092,NOR
5,153.73758143530983,171.8846377115076,NOR
6,152.53157655055816,159.61707642967158,NOR
7,180.6331105383514,185.23637159045572,NOR
8,236.49092017004065,234.88266380360403,LAT
9,235.84557028435373,218.08943849473093,LAT
10,138.83681413184874,136.96610711759834,LAT
11,215.47185434438776,209.0412430094589,LAT
12,101.47716879460667,101.77851818251557,NOR
13,207.791246700387,208.65818649675373,NOR
14,269.8761467053181,263.1734536315617,LAT
15,281.7834509754201,267.84150622739395,LAT
16,163.65229384917748,168.5657610862248,NOR
17,150.5691795652964,151.1307923206496,NOR
18,252.60230809546877,249.50759156508738,LAT
19,287.5621442807504,278.7249962840771,LAT
20,303.37840131444744,291.1161618285714,LAT
21,271.9160554410284,265.45675764654635,LAT
22,227.99357992879973,223.94805687777637,LAT
23,92.7106212227059,101.1351058143742,NOR
24,217.71552211210883,210.63915229213438,LAT
25,259.28571245714284,254.5714304,LAT
