Minisector,VET,GAS,Fastest
0,275.1530145527869,269.77554606065047,VET
1,293.12090204105556,287.4726323610251,VET
2,301.05315035967084,293.8637782200206,VET
3,134.95808639117212,128.82989106732862,VET
4,199.45684570583168,201.03552597321243,GAS
5,263.3167495444524,259.44047269423663,VET
6,140.3650821326258,142.51607138458715,GAS
7,210.79891108123613,208.07780132378474,VET
8,265.02055320820705,260.0709896128302,VET
9,286.9517879408678,282.12226880000003,VET
10,249.10340754861824,229.38778881337572,VET
11,183.77923701066362,170.29392633573485,VET
12,194.03290036946822,197.27552727338093,GAS
13,146.7778198904444,141.91008444890159,VET
14,175.16377011404708,177.78643451006505,GAS
15,164.36238193228792,160.44019245564445,VET
16,218.89964019820982,223.5290817929405,GAS
17,237.97149450450289,226.64572882982725,VET
18,242.16769643510318,236.5765400484992,VET
19,251.52994562238297,226.551474685675,VET
20,145.27391203439547,151.24542895856524,GAS
21,137.9783427604512,130.71251284339192,VET
22,170.95686900045732,172.77897256939895,GAS
23,151.99707970161126,152.80800035777338,GAS
24,235.5700788462725,233.99647812055187,VET
