Minisector,LEC,HUL,Fastest
0,290.8522325269534,298.76208661333334,HUL
1,300.37832514285714,301.9378840647037,HUL
2,163.82454968766447,148.6111467927778,LEC
3,221.32905509153878,222.93643777601434,HUL
4,272.4446852262584,280.45586180190475,HUL
5,294.1344823877503,307.73229200000003,HUL
6,301.51270835555556,319.3014717501141,HUL
7,168.50326906342528,136.78333170132157,LEC
8,130.81631992431176,132.5358597832629,HUL
9,248.54403883477076,252.8048784846561,HUL
10,283.66854165555554,293.88110460340226,HUL
11,298.06920277252635,302.7011742895238,HUL
12,143.12466871989903,135.81216627326057,LEC
13,187.56011386827026,196.0670469461157,HUL
14,256.75696915704276,255.56687525164023,LEC
15,194.8395743632579,199.08541641997547,HUL
16,216.66064854319487,215.894589395671,LEC
17,213.40675453144374,205.9166916704961,LEC
18,242.02560158452005,242.89546619084965,HUL
19,277.23441327667535,276.34743163040935,LEC
20,294.8472672131602,290.3820793652288,LEC
21,264.73526640513364,249.66211440104576,LEC
22,217.14926503314004,216.0408756291209,LEC
23,199.4238432859979,204.2368621553778,HUL
24,262.93295427094466,264.1707048298175,HUL
25,280.30000071111107,,LEC
