Minisector,RUS,LAW,Fastest
0,313.19795382671384,308.3658337653231,RUS
1,185.90813894954823,179.28800872615386,RUS
2,113.32973297478726,107.15143637167611,RUS
3,196.34892372156108,200.83366485768994,LAW
4,255.76882226748586,256.30085207325584,LAW
5,287.6775520950051,283.3102023332213,RUS
6,304.42838538095236,298.824034058836,RUS
7,230.21673746919916,238.7829433821888,LAW
8,143.33029356611337,143.5469927438961,LAW
9,231.27135765386802,230.68345139352382,RUS
10,271.6127248082088,267.1751921441976,RUS
11,224.29164696899826,220.038111071809,RUS
12,170.91540649548492,175.2653858057143,LAW
13,106.70171896084656,104.56529196623974,RUS
14,106.75429270553167,104.47439988206568,RUS
15,139.14595054607472,137.61704684656084,RUS
16,112.96383411255519,112.08094617395294,RUS
17,211.56171949482922,204.33729411947843,RUS
18,150.106114709963,148.28812161324262,RUS
19,144.72666630417578,151.28356486143392,LAW
20,244.34979069494952,241.812803868904,RUS
21,276.4421293925926,273.42253762426185,RUS
22,295.0936612935245,291.62538143666666,RUS
23,306.312666432,300.4486029343791,RUS
24,312.4584490962963,304.3460399152941,RUS
25,,306.0,LAW
