Minisector,MAG,ALO,Fastest
0,284.5655363773465,295.8994227191043,ALO
1,291.7161277,298.3514663736381,ALO
2,152.43607113605444,155.3504208434062,ALO
3,219.66217645072683,222.29586161668135,ALO
4,268.52892145080006,279.00680290786136,ALO
5,288.8859049698178,305.7836338474088,ALO
6,294.9368444708571,309.01234482171003,ALO
7,175.85743187611004,168.3437740730582,MAG
8,123.75632573839277,125.94022817029298,ALO
9,243.42691677482506,245.00571951259462,ALO
10,282.00435644342855,280.358737145266,MAG
11,288.8141398785185,289.179414615873,ALO
12,142.4435039629022,150.92265852015817,ALO
13,187.34170235511735,195.90642942664138,ALO
14,252.45327572948423,250.0832775697542,MAG
15,202.96906953064934,205.75095931234026,ALO
16,210.59519581644875,218.89808513679318,ALO
17,205.5208269231608,209.3926110635339,ALO
18,241.79410846559506,241.90242328067228,ALO
19,272.2316890378667,272.8364314393277,ALO
20,290.3929126142857,284.98300272380953,MAG
21,261.38349411293484,260.08728466427533,MAG
22,220.83986323354242,223.3209965021645,ALO
23,191.65850258288938,210.08907092657049,ALO
24,256.4354764666431,262.3249269405547,ALO
25,274.76999936,,MAG
