Minisector,NOR,HUL,Fastest
0,254.7714910054136,258.90984842256256,HUL
1,281.98999984,295.01342259809525,HUL
2,164.63051495812513,162.80986946831015,NOR
3,170.4039256640285,171.18014782745098,HUL
4,262.0467260626474,262.40258865094154,HUL
5,269.6742700051948,269.4375001212121,NOR
6,221.55049703870034,218.90134965423482,NOR
7,199.09310377931035,193.506921944086,NOR
8,159.61946117216186,150.61500901070752,NOR
9,227.35724005964929,220.62326559783313,NOR
10,277.16626930793655,277.7781464671202,HUL
11,124.78243351247902,121.31793131891793,NOR
12,223.40296511536286,219.99416869396734,NOR
13,274.0445068606061,282.91607172063493,HUL
14,289.60874976,311.62750673483714,HUL
15,295.06541658666663,319.8396930245614,HUL
16,218.76296794074074,236.15366519466667,HUL
17,137.65843051162793,135.9851789616393,NOR
18,140.61458796548257,136.00164670096552,NOR
19,125.51141703483673,126.20939916720575,HUL
20,231.99081496842692,225.5717228088889,NOR
21,260.17500704351636,251.6633230498313,NOR
22,233.53378578416076,236.39979610591803,HUL
23,216.22620488650057,218.2556835427463,HUL
24,144.74605965690773,143.3059442001313,NOR
25,,223.8,HUL
