Minisector,BOT,ALB,Fastest
0,257.6705217735752,249.80088751599618,BOT
1,132.74718074934498,130.64111365027728,BOT
2,263.0421134145893,264.56881754190675,ALB
3,303.3173114902327,305.94715106938776,ALB
4,302.84174114285713,304.3472700689655,ALB
5,309.08636979157575,311.9469708897544,ALB
6,315.2905863901235,316.6705246814815,ALB
7,316.69283943427456,318.72755641071683,ALB
8,205.07385736069347,196.2180338843412,BOT
9,198.11608139537566,196.02320238324137,BOT
10,184.47436734303437,177.45902805418885,BOT
11,167.42925946472192,167.33640787680892,BOT
12,252.37828293414955,254.57017104996498,ALB
13,276.2866056894407,275.1000260180321,BOT
14,279.43905668253626,277.09292903010396,BOT
15,279.18456363614524,265.6845968161616,BOT
16,182.32092719325144,185.1083404444483,ALB
17,193.22027229798033,191.24727516057374,BOT
18,241.19366301681043,243.30454826632084,ALB
19,286.23177840865617,287.2907109025086,ALB
20,305.8114582761905,308.6528211181595,ALB
21,312.12890514957223,315.22584300460477,ALB
22,309.83776453192235,309.4625517787412,BOT
23,260.64389364343367,236.3493779892405,BOT
24,114.25145466071461,115.6636520946375,ALB
25,227.5249984,,BOT
