Minisector,HAM,LAW,Fastest
0,271.04141472986,266.1112676616462,HAM
1,249.73970533554268,245.68816444210026,HAM
2,124.58036117825503,116.82403325004103,HAM
3,175.83932379909936,170.27703484211915,HAM
4,200.813192503343,184.38061172984337,HAM
5,198.76083217934064,191.90338635057384,HAM
6,264.16385618217237,264.4536625240931,LAW
7,286.25505738386323,285.0793555686495,HAM
8,234.88474567063164,227.65447661396823,HAM
9,149.39365033133186,142.16367079127284,HAM
10,118.95664355838258,109.99773092960646,HAM
11,149.51837769420953,151.24605110455306,LAW
12,243.8965771750523,240.85269104669038,HAM
13,158.69037526408013,144.34807559677242,HAM
14,149.1027325092495,141.906775085743,HAM
15,109.0992811330426,102.9028055947106,HAM
16,220.6960269377778,215.94300776145118,HAM
17,239.95374202675617,217.03165760047736,HAM
18,131.02237026913454,123.29052080047225,HAM
19,239.5227546611456,240.61135991093028,LAW
20,275.20825379905705,275.4978528106425,LAW
21,212.0419904234836,183.48260240810228,HAM
22,148.80426376262338,145.44106366132672,HAM
23,217.0637826084022,203.90295485233713,HAM
24,224.24516320792551,224.9848670539075,LAW
25,253.83750080000002,,HAM
