Minisector,VER,HUL,Fastest
0,294.9966157521886,313.1845405401212,HUL
1,216.05775932835218,210.6330800558422,VER
2,233.3262801495591,228.55476177191696,VER
3,277.3173577994478,282.7920343612364,HUL
4,241.92732812609694,245.9236491798335,HUL
5,133.6630549912837,125.55748774761905,VER
6,212.52043569824056,210.34122720013852,VER
7,261.56829195545356,260.6374270815584,VER
8,251.46698733602182,250.09482909496597,VER
9,241.05832491745593,239.92832504160367,VER
10,275.88352765084886,278.0663425066667,HUL
11,289.6422955577274,294.77147828726737,HUL
12,297.45618639906024,310.15741516663104,HUL
13,301.56904765968255,323.198695897284,HUL
14,295.39677814923783,324.99921044210527,HUL
15,259.304627584265,253.30854936098766,VER
16,248.33281112333725,239.50024984319924,VER
17,278.45028876882486,282.64152240193937,HUL
18,285.38670480246793,304.75626125926465,HUL
19,161.22987560662085,163.24920205874722,HUL
20,211.41180323706152,205.47411315604398,VER
21,182.85665483009672,185.83048474320847,HUL
22,140.42650735409995,135.7950624791048,VER
23,238.48313151685923,234.73853221917952,VER
24,281.54343441454546,292.7029764058145,HUL
25,293.0,308.6875003428571,HUL
