Minisector,VET,HUL,Fastest
0,288.9560128389312,292.1959597286771,HUL
1,195.31111041645403,198.5091798115909,HUL
2,226.29759110575327,221.55987782288997,VET
3,270.5656829678134,271.6564498069684,HUL
4,239.26593070292478,232.77420586073174,VET
5,128.04067947484833,122.75950430797089,VET
6,212.72134436153647,206.46581038153892,VET
7,257.1820789377453,254.2009144158749,VET
8,200.8530144789835,205.71017457882826,HUL
9,205.5072982927861,206.1436891389674,HUL
10,262.09777634888826,262.9149570699043,HUL
11,208.28335376976048,209.30088898550306,HUL
12,177.57257180786962,175.09536209558155,VET
13,258.01124815920684,258.4417436942186,HUL
14,280.3606951673824,280.46732337499924,HUL
15,256.41401444848486,258.99834483712914,HUL
16,236.81150490728706,234.77297402820074,VET
17,272.0672619459619,270.48198891693147,VET
18,285.47918932048896,284.4866250412815,VET
19,176.7846103567655,170.54996588734954,VET
20,207.9322329052956,209.96378945262495,HUL
21,170.01089923896782,168.39005315601264,VET
22,140.8678400438401,141.11880482023128,HUL
23,238.16765482533688,238.13760936121764,VET
24,276.67542165669676,279.2799709194795,HUL
