Minisector,BOT,RIC,Fastest
0,305.5235414933333,303.3605354819048,BOT
1,309.7713815578947,306.00172311578945,BOT
2,310.109649122807,298.9298538160618,BOT
3,226.341691136,221.7588164923077,BOT
4,229.50927383199198,220.99794967128142,BOT
5,121.1557552779002,118.20713243809216,BOT
6,231.46180436825398,220.59276558017956,BOT
7,270.2528352176595,263.356158515942,BOT
8,218.98170552098765,215.42876382290936,BOT
9,122.93926200802584,121.68663993080455,BOT
10,243.86076080152378,237.00989431746032,BOT
11,255.1627735396206,249.55634133333334,BOT
12,135.86567530158732,133.2031826805475,BOT
13,226.29804617922537,217.25390749440183,BOT
14,270.90583296,264.8469693090909,BOT
15,228.58498723315455,215.57904102181269,BOT
16,171.84278108465926,168.44081289476335,BOT
17,247.05632299880392,240.91963148525042,BOT
18,122.51542347407407,121.89669630848584,BOT
19,143.3896830837886,145.89869338715283,RIC
20,209.03582438249865,205.31343446554348,BOT
21,263.8333325575758,256.85981467073293,BOT
22,280.94186493968255,273.54366612266665,BOT
23,289.5739526491018,284.85244612250034,BOT
24,298.69824532210527,293.7548329386667,BOT
