Minisector,VER,ANT,Fastest
0,97.85001659064083,122.23551164310777,ANT
1,124.90601232253968,175.65695941333334,ANT
2,197.47752366222224,195.0,VER
3,238.4825524,155.84345953954931,VER
4,259.0355264,150.9016734857143,VER
5,259.21194389333334,146.4002746316855,VER
6,164.95980760615384,194.25677328355258,ANT
7,116.45254065987803,233.3044311563011,ANT
8,138.96811259863946,245.10108687238093,ANT
9,199.65245577142858,242.52631578947367,ANT
10,216.097510532119,204.9507681208608,VER
11,247.17458378666666,211.52249984,VER
12,274.98502383940297,236.07189436613757,VER
13,292.1611112296296,260.29882076517674,VER
14,298.88916672,270.9443426280473,VER
15,284.6603374676692,202.11800243809523,VER
16,260.50985238588237,114.80908779611472,VER
17,206.59860873485954,153.81277124155844,VER
18,217.32258175911224,197.44361988722252,VER
19,178.64654146077922,143.89947813333333,VER
20,136.84868817777777,99.06148662379084,VER
21,153.72195392688172,143.65362972228957,VER
22,198.44491159893332,186.77881440000002,VER
23,226.21052631578948,,VER
24,148.72161336666667,,VER
