Minisector,SAI,OCO,Fastest
0,284.2613781412448,286.12246464199484,OCO
1,144.63276896772203,148.91951473511048,OCO
2,223.39817688743054,221.2688822283015,SAI
3,282.37726049102304,280.2222403743723,SAI
4,313.2459211064935,313.6368102485724,OCO
5,296.7213670552611,302.54128293189785,OCO
6,157.16688545531463,149.55717713961968,SAI
7,243.46300002942527,257.1365762836006,OCO
8,111.39301185901671,116.27488709521798,OCO
9,173.7552070181061,162.93760155693948,SAI
10,278.10864236345594,275.39160091815046,SAI
11,299.29063113650795,301.9737791161905,OCO
12,217.49673098343433,213.71258737110549,SAI
13,171.13845825851902,169.90372100408266,SAI
14,280.9609590177655,280.9509016342857,SAI
15,313.0808912592208,314.0710205141139,OCO
16,328.156175622774,330.0467502503294,OCO
17,335.4316613276564,338.078400947489,OCO
18,339.7942176653061,341.434969011358,OCO
19,336.09304469485716,342.71598871534394,OCO
20,185.7514846384963,198.67793877573354,OCO
21,183.35350257997425,173.2645174703544,SAI
22,282.5595170218128,281.8223770578754,SAI
23,312.2612174700345,314.745349880285,OCO
24,321.57585008549097,329.15764103887955,OCO
25,317.77499985454546,331.01176470588234,OCO
