Minisector,HUL,ERI,Fastest
0,250.16516877366743,250.33742716034314,ERI
1,283.17166682666664,283.2241666666667,ERI
2,164.33270789526512,170.1101319727715,ERI
3,166.27378647009428,161.74160052910054,HUL
4,253.936418008658,255.01754067623688,ERI
5,265.40978188535564,268.7564935064935,ERI
6,226.7709622645722,228.96414246311554,ERI
7,200.25952724648485,202.00733894213369,ERI
8,161.34220816065425,161.3511568,ERI
9,226.10736182748815,209.35999490036664,HUL
10,268.91176314920637,268.4790778209524,HUL
11,127.24012777799298,133.44054592044318,ERI
12,215.74411219613242,209.43511927619048,HUL
13,276.4906928554112,271.9657871896286,HUL
14,295.51562512,293.21446438095234,HUL
15,301.9255314118689,300.6710528,HUL
16,227.71083277296472,235.6347893082141,ERI
17,129.77678287565058,129.7341717622469,HUL
18,131.80945235934206,128.92534907175016,HUL
19,120.01694562643344,118.00322559497837,HUL
20,221.07993864691358,221.5488862217691,ERI
21,252.4735902763268,254.5949174937049,ERI
22,225.5688265876543,234.13699797333334,ERI
23,215.8010628022496,208.91413442502548,HUL
24,136.52413566958845,132.75859137188107,HUL
25,216.24875948219207,217.0375047111111,ERI
