Minisector,NOR,HUL,Fastest
0,248.53229158445055,248.61454209890456,HUL
1,284.5552550257143,286.31535082472726,HUL
2,182.14633417646465,178.2430277804277,NOR
3,153.30806610445183,160.97077972577728,HUL
4,261.097549408,259.4416705010563,NOR
5,274.52409983546636,276.2485321169474,HUL
6,237.77992570675886,237.12452336575262,NOR
7,209.18111114697538,209.95975845757374,HUL
8,156.20901645022997,158.4897767173474,HUL
9,223.114830671746,212.83754104730772,NOR
10,276.50531891022223,271.8456297736989,NOR
11,131.56129717231647,131.68506212263887,HUL
12,210.6258882113805,205.6587456193633,NOR
13,275.89795634511495,273.16580344086884,NOR
14,296.6498837135238,297.025411330954,HUL
15,306.7480891853447,305.9594274312673,NOR
16,255.75828456445598,261.31615358311865,HUL
17,127.80233988392048,125.80969747246502,NOR
18,127.58832260250706,126.87270355794948,NOR
19,122.51009147367253,123.35177293331138,HUL
20,226.21388374432212,219.67439106434225,NOR
21,261.6433610091629,259.76011102836395,NOR
22,247.49850055864073,254.64724165808315,HUL
23,224.64217208724273,218.16670051169524,NOR
24,137.34391198437115,139.12678781641355,HUL
25,217.0,209.51430812444445,NOR
