Minisector,GAS,GIO,Fastest
0,254.77754554074076,263.4879569837535,GIO
1,128.83396971077792,131.95245142959624,GIO
2,200.95000175238096,195.92708106666666,GAS
3,248.17100056669173,246.06405687961717,GAS
4,261.3600076380952,261.3450532666667,GAS
5,179.78661636750877,180.27174066086954,GIO
6,143.12900402753087,141.77528555069603,GAS
7,184.50347616827125,180.58598427705627,GAS
8,104.67042133726463,103.64985365018876,GAS
9,78.45897922501088,77.66325547127991,GAS
10,94.05118901907097,93.7635411878788,GAS
11,178.19285733679655,178.16462817091823,GAS
12,247.334117258061,246.6794106352941,GAS
13,270.9733340444444,269.3561103644444,GAS
14,270.6684825777377,282.54096797461983,GIO
15,117.71829169731282,126.7320931860061,GIO
16,139.68701780610687,133.98163194024377,GAS
17,194.16665681591812,194.764485384127,GIO
18,195.86655549660992,191.98174466031747,GAS
19,213.79649122807018,217.27748277568242,GIO
20,133.63451535626348,134.93629078709677,GIO
21,117.6654189843772,123.94422620669981,GIO
22,90.0789699453185,87.75402980140292,GAS
23,195.70233242476257,189.8274595878788,GAS
24,249.69019672380952,247.86926953333332,GAS
25,,263.7499968,GIO
