Minisector,SAI,RIC,Fastest
0,296.40844899626666,307.482579754946,RIC
1,247.19283724065775,232.31435062003712,SAI
2,202.1483119281187,188.95702558186474,SAI
3,265.2546011677748,261.86992020172653,SAI
4,224.90303415248002,215.16136909593632,SAI
5,112.81646939970963,106.54529611170781,SAI
6,182.2624645782728,171.90514213230827,SAI
7,257.91277995191916,253.69165606040792,SAI
8,288.9770473514976,291.69219449034017,RIC
9,303.5629129292191,316.3316251151515,RIC
10,307.9305989448373,325.3626165129149,RIC
11,236.12419581845117,200.3041800635723,SAI
12,142.9440665335115,142.7597048621554,SAI
13,252.60819982984125,254.74631280932448,RIC
14,288.1521044990407,291.3876271891156,RIC
15,300.0735921608834,302.5479373902065,RIC
16,299.67843274949496,298.9962778970826,SAI
17,264.6083574634667,239.34262030994208,SAI
18,192.45399412793537,169.12118292460184,SAI
19,184.1135171175066,165.8195547816104,SAI
20,174.65468429329235,183.36891709213603,RIC
21,246.95771630032786,230.70799617142856,SAI
22,123.15647654437119,107.64920193387388,SAI
23,194.91547870758612,210.31049669562725,RIC
24,274.27146015073174,284.0072252226599,RIC
