Minisector,PIA,STR,Fastest
0,276.510879010352,276.60810216299205,STR
1,299.5755790952727,294.8015348240628,PIA
2,301.495654532943,294.41944565163635,PIA
3,186.02884748739962,175.32290018759736,PIA
4,122.17456787878845,116.50839740190851,PIA
5,238.2903482669197,232.73274100072396,PIA
6,283.0547441879456,279.4822975965368,PIA
7,295.3483886282433,291.67586017567976,PIA
8,181.14064700849582,167.62006778819284,PIA
9,138.8810778282705,132.18083519760054,PIA
10,250.84306205857834,248.60742469968253,PIA
11,288.5693993074968,287.5163632597903,PIA
12,299.9086498291573,298.1054128152381,PIA
13,288.29436870350577,276.45185549746554,PIA
14,306.2423026053333,301.8049473466431,PIA
15,310.3704337721212,304.83857724421404,PIA
16,258.09876271725716,239.2584287473635,PIA
17,222.23808146951427,218.87217147930036,PIA
18,277.8775216510145,280.25140983602955,STR
19,305.99135765790476,304.87495516226755,PIA
20,314.51531221333335,311.3853569207363,PIA
21,249.93842457766235,228.9904728057021,PIA
22,266.5382441470037,254.4500891271543,PIA
23,138.51154755058732,140.8158664945964,STR
24,212.07061904147466,206.14699807930924,PIA
25,,257.01875199999995,STR
