Minisector,VER,SAI,Fastest
0,291.40431441245653,292.7017977331966,SAI
1,302.07408000805367,303.31094717018635,SAI
2,267.5012651827022,278.5200599982222,SAI
3,110.25128740879923,104.5800847575543,VER
4,220.25639164030568,214.9510803697598,VER
5,267.9700782438736,268.6117906160951,SAI
6,207.7114704877267,211.38907978748455,SAI
7,160.9114100526,154.90140896235872,VER
8,200.00928887571428,194.36074130881684,VER
9,205.92247298708995,213.9098666452353,SAI
10,118.08780460327185,112.5186445505786,VER
11,224.30266876773845,226.20185363337592,SAI
12,117.61933386550663,111.34136303612358,VER
13,219.5988483718299,217.83034665467773,VER
14,270.41149971329617,273.966872926432,SAI
15,216.0394595041975,217.05683690068534,SAI
16,187.13003413923195,190.12560934571428,SAI
17,241.02534562378926,234.9819247153439,VER
18,202.88039987910534,191.0290578206713,VER
19,184.90734822380443,187.0551918915186,SAI
20,263.20879143409996,263.6913111591342,SAI
21,286.99803110073583,290.2164440482801,SAI
22,173.68589049251776,164.81809643844252,VER
23,209.6710985703887,206.5326876857202,VER
24,272.6987279792208,272.2084932074606,VER
25,285.3958336,,VER
