Minisector,VER,GRO,Fastest
0,276.0863088253968,273.0743558984127,VER
1,292.25113624242425,292.83375158165256,GRO
2,232.26616994857,231.75807464489796,VER
3,133.50799058686064,124.3430187132654,VER
4,194.67525172640694,180.09564724428623,VER
5,127.39811665324238,120.3997155355568,VER
6,210.46065029646903,207.44063438181718,VER
7,267.4409727111111,260.8618400602492,VER
8,193.9855807821419,177.58393031941452,VER
9,181.98719200653062,177.25121620765086,VER
10,264.8975209989553,262.119668584127,VER
11,195.66188903434343,184.28557566669872,VER
12,163.64028533545397,163.9914391091575,GRO
13,256.7188328533333,254.4840996313921,VER
14,272.48256891153807,271.21671874782606,VER
15,285.7464012606061,286.0860048737923,GRO
16,218.79632576763615,202.44248936666668,VER
17,199.78125458214285,193.11672693916378,VER
18,245.31727791795643,240.31836559012348,VER
19,281.8469693090909,280.9894485541126,VER
20,291.533980263354,292.7045456969697,GRO
21,209.81967374215708,188.78333037714287,VER
22,149.16002529113365,145.53088624415585,VER
23,162.56323199942716,152.3902942133413,VER
24,226.48738068218447,223.5494939871997,VER
25,260.1124992,,VER
