Minisector,HAM,HUL,Fastest
0,273.79089511073386,277.7659712888889,HUL
1,289.60054292268376,297.4413417993586,HUL
2,224.0494097715,225.92428443218392,HUL
3,133.57981578533315,125.97348679756229,HAM
4,186.4806673202878,184.79255221329777,HAM
5,125.86287764483005,120.76017936728347,HAM
6,212.50847029333332,206.7605057835686,HAM
7,265.89732049882406,258.80690065857584,HAM
8,186.6528033063782,178.462203832843,HAM
9,183.3690630993753,179.42388204004203,HAM
10,264.09068247453416,264.5364123362319,HUL
11,192.75345730331827,195.4227939234598,HUL
12,168.91007230607394,158.73333746803252,HAM
13,256.6732640284792,258.4214159742194,HUL
14,272.48778437432713,276.5077118873706,HUL
15,286.9172149984753,289.74273167251783,HUL
16,209.76315709460317,203.95675395714287,HAM
17,204.80153925124233,185.15064406324578,HAM
18,247.39320849382716,241.00617102222222,HAM
19,282.86261394819354,285.4825444051481,HUL
20,293.03939374545456,296.6849205696145,HUL
21,211.0667981551594,211.22381681751682,HUL
22,154.1966769417944,140.58909109367804,HAM
23,164.60127067517965,155.94435121151224,HAM
24,227.25946109688013,223.24236135661974,HAM
25,260.31380698012947,262.809127189409,HUL
