Minisector,VER,OCO,Fastest
0,297.3660486218552,317.55666613333335,OCO
1,298.231140322807,329.25019495416444,OCO
2,298.0859649122807,335.0196759703704,OCO
3,237.86428717404294,222.14407216410257,VER
4,235.689080595482,224.550350288276,VER
5,114.06216428178999,113.11858225613925,VER
6,216.5865651359961,212.3617548952381,VER
7,269.6600384,264.3948406349206,VER
8,235.8200293025349,233.2853098283509,VER
9,114.80824989746492,114.3022219640736,VER
10,235.84992888076192,230.91137722490842,VER
11,253.9077048996234,243.49891334492753,VER
12,137.47156940436804,134.73459322967884,VER
13,213.05251440311253,207.1125981848975,VER
14,270.5224207746032,265.60947163561076,VER
15,234.18849873066665,225.32167758262858,VER
16,159.74863455022813,155.00112504504506,VER
17,241.89166715362316,233.6866037315741,VER
18,128.376485640551,125.08254001178956,VER
19,148.0042577142093,145.68604195047618,VER
20,188.88625123555553,185.27756199351938,VER
21,258.6791045643318,254.52800140455486,VER
22,275.9346373514739,273.3254972140888,VER
23,283.5873016888889,282.20456335238094,VER
24,290.2979465447619,291.68139075689226,OCO
25,,295.9541664,OCO
