Minisector,PER,PIA,Fastest
0,290.67744954761906,305.39035352533335,PIA
1,300.34682554920636,321.37153781924434,PIA
2,275.09607916596826,289.0421231772522,PIA
3,104.91190515627494,111.2621080992109,PIA
4,224.86916688894448,219.34811034288703,PER
5,270.37946480346324,270.1535462293996,PER
6,215.10132475791355,205.09314897803637,PER
7,168.17084227345552,163.39270052609493,PER
8,208.50221265985786,211.1104079767325,PIA
9,218.34284691809523,219.52509877107585,PIA
10,118.5854996457008,109.9666515111723,PER
11,230.51684280041127,232.15266768474478,PIA
12,124.04132959601965,117.04947218173419,PER
13,222.0150836682422,224.46306793299146,PIA
14,271.54492749271395,273.4843733364933,PIA
15,224.3945464507864,204.7432841081905,PER
16,194.83195413312714,196.4298168194176,PIA
17,248.37142664410254,255.34836586335405,PIA
18,212.30179040545792,207.25170662198894,PER
19,183.22815342105085,181.15008487996838,PER
20,262.168676893372,265.9391269771126,PIA
21,288.95156959769116,293.7093925170259,PIA
22,172.19942459568787,163.87498813283125,PER
23,210.41451025645932,216.13589856154726,PIA
24,268.7730528806885,277.8718279214907,PIA
25,283.2083328,,PER
