Minisector,ALO,SAI,Fastest
0,293.0069773371928,292.7017977331966,ALO
1,302.27758514781334,303.31094717018635,SAI
2,283.61384314805196,278.5200599982222,ALO
3,107.39538551425983,104.5800847575543,ALO
4,216.23740304212558,214.9510803697598,ALO
5,268.4374090727144,268.6117906160951,SAI
6,210.34394730020202,219.48720855897204,SAI
7,158.85062010210817,153.60401435892723,ALO
8,205.5177236136073,194.803711983475,ALO
9,218.23608989460317,212.78050335228667,ALO
10,111.44535749974469,111.25940246255071,ALO
11,227.06326542849035,223.4617894060181,ALO
12,112.50517530584742,111.49118329937617,ALO
13,208.5011818686984,213.84782155077215,SAI
14,280.8530401029864,272.9078847022827,ALO
15,213.47461207958202,224.7535931183513,SAI
16,191.95608668020867,187.61623434571428,ALO
17,250.37905886042327,234.92017185054945,ALO
18,189.917186751439,198.8103565075673,SAI
19,175.83710832669553,181.04944528142926,SAI
20,261.06107962758097,260.79686888931417,ALO
21,290.4767458613564,288.8467889536089,ALO
22,166.40794381795092,174.83465909638957,SAI
23,209.20367448380952,198.4878418400055,ALO
24,275.15442051288267,269.60803776795035,ALO
25,292.8687488,285.4091538412194,ALO
