Minisector,VET,BOT,Fastest
0,259.6154458542846,256.481769,VET
1,300.72642291127465,296.40175939229124,VET
2,174.853126849929,171.2435415292517,VET
3,166.5656295765518,163.7084350626114,VET
4,259.4480357942857,258.6760820107418,VET
5,268.5890937792245,273.78484970596315,BOT
6,224.38237206153846,235.19466720000003,BOT
7,199.0574409322571,207.5466828271054,BOT
8,158.5844106213642,158.5887989273403,BOT
9,222.4589178062861,217.03105591794872,VET
10,275.2999374275689,273.49385971618165,VET
11,134.39182191635612,128.73846092502703,VET
12,221.7773829121398,220.1380301899599,VET
13,282.3942461968254,278.55001499829916,VET
14,304.3893546799019,301.21747205445655,VET
15,310.57523176296297,310.86921070760326,BOT
16,241.8866660266667,219.7837808761905,VET
17,130.82265250294665,129.42026371180123,VET
18,133.4126704253968,133.0571788526295,VET
19,121.83685040329426,118.4706892670067,VET
20,224.7307623862857,232.946722176,BOT
21,250.37770597543772,256.94624418824657,BOT
22,236.61718778514285,229.44182119506172,VET
23,219.79124951583495,207.00502449644304,VET
24,134.4963148580139,137.9044324929779,BOT
25,221.93333333333334,,VET
