Minisector,RUS,BOR,Fastest
0,322.29666103335785,326.5383036398143,BOR
1,332.24397532113517,336.86925006019044,BOR
2,333.53954365079363,334.9626998320576,BOR
3,192.73269369543942,206.3983300111627,BOR
4,126.32520282883232,129.0962184181873,BOR
5,266.8533639376938,261.7580841398332,RUS
6,300.63218096250023,304.78412828786946,BOR
7,315.5769584762716,320.78249477311385,BOR
8,283.59839550442723,287.62795805435536,BOR
9,148.38995957751658,145.0190115755132,RUS
10,227.92276908178894,227.7358905501134,RUS
11,231.28889476778366,220.6643330022331,RUS
12,207.45214469402683,203.43749136289424,RUS
13,272.16287447197874,269.50443350516997,RUS
14,309.13888334610647,308.7463065228833,RUS
15,320.04677248677245,324.613703970366,BOR
16,272.2315939486808,283.7752243328088,BOR
17,222.6448118371721,203.19154035528356,RUS
18,280.12462389100943,274.38235563238095,RUS
19,310.1550396825397,309.87039630600844,RUS
20,320.39643119264827,325.46491951484546,BOR
21,298.04411771294764,317.01190391238094,BOR
22,222.80635802469135,213.03220058494134,RUS
23,270.60572685749236,268.79298583166326,RUS
24,306.66775017253275,306.5970676414688,RUS
25,,319.7944448,BOR
