Minisector,RUS,GAS,Fastest
0,296.8299523356914,292.04598304409853,RUS
1,305.3689275140773,303.43993961430294,RUS
2,289.29620567741927,277.9133844227758,RUS
3,109.33598616360315,106.07225440236391,RUS
4,234.4234478379149,218.42658744808432,RUS
5,278.69652500116877,272.0043418438144,RUS
6,190.9139797058782,206.34809656470412,GAS
7,164.79157016889536,155.93077860309234,RUS
8,198.86040124285032,212.70530179601732,GAS
9,208.17780702312925,214.2071818026295,GAS
10,123.22095708558824,113.49880061770968,RUS
11,232.11498031705406,227.35331610062624,RUS
12,114.81526393010333,118.9878384783255,GAS
13,225.40718107238095,221.0686323806657,RUS
14,282.00820516087003,276.6812147448889,RUS
15,203.32858975632183,221.05505946275846,GAS
16,195.75788713521968,186.37397821595488,RUS
17,241.76213122452106,249.70020709454798,GAS
18,189.45694721733832,196.5779662751789,GAS
19,192.6412152667858,178.3800237744934,RUS
20,267.2674514055032,261.1459652572839,RUS
21,294.50057079920634,290.02963038718616,RUS
22,174.1948901128319,180.24140259585627,GAS
23,217.79843376229272,202.36320110774741,RUS
24,274.3854369567347,268.8340087329498,RUS
25,287.0333340444444,282.87499733333334,RUS
