Minisector,PER,NOR,Fastest
0,297.9229166222222,333.67373303371414,NOR
1,273.36390631714517,307.23036063492066,NOR
2,173.60312965028606,168.81771784623433,PER
3,204.79595248463238,196.1457148038095,PER
4,221.26665567544447,225.8916449536083,NOR
5,265.38386176313844,265.910333056,NOR
6,224.03244224794815,228.93348304828143,NOR
7,215.24745787785506,210.50931559398134,PER
8,166.72984512454957,164.92452440676178,PER
9,177.08008950687832,178.17522494959007,NOR
10,188.5304245695144,179.36420697176226,PER
11,211.82073852039235,209.70763060577548,PER
12,242.27791677167434,238.40591193844898,PER
13,171.96718999802118,166.63964863534412,PER
14,245.68749842962964,249.97631983498164,NOR
15,272.08866646552383,275.2264998826667,NOR
16,267.5616989948718,269.2457699495689,NOR
17,261.3399562904067,260.25496836923077,PER
18,246.21381419369493,250.75602959391068,NOR
19,248.97544685714288,248.2337395153622,PER
20,261.1768759392744,261.57719689396174,NOR
21,193.71278608243665,190.98092485442504,PER
22,225.8269415780938,218.71680579259322,PER
23,273.6608325973333,278.6168099615251,NOR
24,290.0659487130247,300.3830139537812,NOR
25,294.83749973333335,305.6,NOR
