Minisector,HAM,LEC,Fastest
0,257.2236889371072,252.50074988543182,HAM
1,209.86730726007374,212.0258958237437,LEC
2,209.62164037825912,202.5440922233683,HAM
3,257.55990673070306,255.18507003486212,HAM
4,270.4795400156136,266.4103410352644,HAM
5,289.60453882962406,284.56645567725445,HAM
6,167.94760553033365,159.25256554331284,HAM
7,187.52726626725328,180.43364429244627,HAM
8,268.3444951776439,265.9828846413537,HAM
9,294.92714277128965,290.78927717352343,HAM
10,306.3694978079863,301.55338536138186,HAM
11,307.32139562843514,306.44907495539394,HAM
12,117.12863188895501,113.46603782230589,HAM
13,188.3842693018951,191.45310483572115,LEC
14,271.046427950007,267.8879261972499,HAM
15,296.41656511184533,293.0548767450267,HAM
16,303.579934571813,301.42637113935007,HAM
17,190.15139561686047,177.03429543255618,HAM
18,222.6534680041274,217.51564246793842,HAM
19,270.73464635604813,267.71472489809474,HAM
20,155.16510359401067,154.44576874494706,HAM
21,148.0823856045632,142.57405874585206,HAM
22,223.08130583341847,219.50795490282243,HAM
23,227.80223897949875,226.15473422235803,HAM
24,161.15572814798037,155.59661549855377,HAM
25,228.60416533333336,,HAM
