Minisector,LEC,VER,Fastest
0,256.02913294216023,258.698877374359,VER
1,235.01472517732768,242.1417234103387,VER
2,145.3073376231884,145.83753516501605,VER
3,237.24539947805502,238.7638242778414,VER
4,268.70950024533334,268.66135679390476,LEC
5,183.59259511056024,189.67848779636992,VER
6,101.25820431435366,103.8903131225126,VER
7,133.89440570444427,124.53783801781557,LEC
8,246.49358519082892,246.03256874555166,LEC
9,172.5611331082045,171.07443514748775,LEC
10,184.79756818622118,189.3051943783957,VER
11,254.62490142023395,256.99503163076923,VER
12,237.60344694819034,248.82086871748737,VER
13,258.2164088863064,264.54773778285715,VER
14,280.5070655536232,280.91576064927534,VER
15,279.3800998406391,273.6287106003552,LEC
16,136.8947975259182,144.6612021527617,VER
17,229.68853669646577,237.37696307809523,VER
18,275.77821277876507,277.43172410389326,VER
19,285.15250493968256,286.19207905605356,VER
20,286.546221720911,288.3403347812483,VER
21,291.89402179710146,287.8337949836047,LEC
22,141.92322183831067,141.3132732668845,LEC
23,79.3728526300439,83.44816634260255,VER
24,158.09212573486363,165.05794657815443,VER
