Minisector,SAI,ALO,Fastest
0,285.56993851487533,283.98519198154884,SAI
1,295.47451794952445,295.4755280166233,ALO
2,299.8556573641949,299.5453636213103,SAI
3,301.01200945143603,299.8506365464346,SAI
4,174.07662870385076,182.3311026085714,ALO
5,203.93662969095644,211.6905955367954,ALO
6,213.79869568844558,239.2387182165632,ALO
7,253.80024624083958,263.94399276110136,ALO
8,268.3272842084979,271.70807178601495,ALO
9,166.75263084124808,161.4667552526091,SAI
10,230.30386459805095,227.14271697706465,SAI
11,140.39213020311092,142.46625597818672,ALO
12,217.6977665411391,220.6820555657749,ALO
13,201.10040650033255,207.79803861211008,ALO
14,209.9898924373092,205.83293280949874,SAI
15,244.11570929245943,251.0111672630213,ALO
16,254.77553546885557,258.28155433828016,ALO
17,277.98732287480334,279.2184835190514,ALO
18,156.98374269788647,158.19603952284848,ALO
19,155.70240291556408,152.35741477233373,SAI
20,145.34089214095218,140.91368026235637,SAI
21,172.46823337454975,167.9943893591398,SAI
22,118.38327689173502,119.51460174325481,ALO
23,218.59765649833594,215.4775512364495,SAI
24,265.6019806140217,264.101057731646,SAI
25,,278.0499989333333,ALO
