Minisector,VET,SAI,Fastest
0,257.9276683515969,255.4722861904664,VET
1,209.16843031146612,205.34700721881077,VET
2,224.6537047440734,222.56362795560202,VET
3,264.25234673017945,259.7814523395795,VET
4,274.05459357886053,268.50730178136905,VET
5,224.2869444523298,214.40233213941417,VET
6,96.14883534292294,96.83546126358883,SAI
7,192.07514562716068,193.02665238354678,SAI
8,283.2963365283513,275.4316144341667,VET
9,309.20256779327053,299.91531331717147,VET
10,318.8476818568483,310.6956468312577,VET
11,318.4551471619265,302.2396182113361,VET
12,106.44930951639718,107.58491154809535,SAI
13,218.48098449509038,219.8609761498806,SAI
14,280.6267052812078,278.18439920091583,VET
15,300.58665099871973,294.82455785060904,VET
16,242.75593653870965,213.86568254408314,VET
17,125.09496739771026,127.43953156294981,SAI
18,152.74876403143608,158.07166199533845,SAI
19,257.12623357698163,256.66675019165626,VET
20,155.82148814895788,149.92765560266983,VET
21,128.47579147079378,131.2421085439336,SAI
22,207.3349270904174,210.14879322017046,SAI
23,209.62152599788712,198.9797745736135,VET
24,169.94519340639656,173.88085643104662,SAI
25,232.69583146666668,,VET
