Minisector,VER,STR,Fastest
0,273.947953344708,272.79639078717065,VER
1,291.019815470183,289.8743735017544,VER
2,293.6747806877193,294.32587795087716,STR
3,130.62045619950626,127.33574170211584,VER
4,208.45948949976955,209.2861484190476,STR
5,256.27893631126193,256.6581141892219,STR
6,145.8979971920672,143.27747681670346,VER
7,215.34868005788624,216.3432808051438,STR
8,262.5533220450241,264.35161545578234,STR
9,278.42562358276643,281.5251251889724,STR
10,238.25543756516055,250.41660416625027,STR
11,180.64208451136304,179.370278664127,VER
12,206.48581318914748,205.62564052307692,VER
13,147.94946427069982,139.41596035588765,VER
14,182.90410776231607,189.65833329523812,STR
15,170.6451434446747,169.4491550451613,VER
16,226.60509500621032,233.6956978909091,STR
17,235.0408841071217,233.98975737777778,VER
18,247.78403716017317,248.50249748568535,STR
19,234.25598787515085,202.63413628717947,VER
20,149.52346903368402,160.38813667257128,STR
21,135.11526342975137,128.57476450480095,VER
22,181.03250778870495,183.06488166042692,STR
23,156.53789693555404,158.7808023767138,STR
24,237.8038646148185,239.27229130666666,STR
