Minisector,LEC,RUS,Fastest
0,316.6199274931677,320.594918602698,RUS
1,324.28586132491654,329.05220159921834,RUS
2,327.59473043953636,330.5951317621531,RUS
3,202.0943681114236,190.29848819710244,LEC
4,116.84228403346755,114.67387223258727,LEC
5,262.9141406853861,264.5453748557908,RUS
6,297.4846160932362,300.64271400228574,RUS
7,314.25652718493967,307.79655800579707,LEC
8,287.7089802463311,274.026235654321,LEC
9,140.6321365865624,138.09286321583738,LEC
10,219.2880151358097,212.25819976541513,LEC
11,210.6598103489434,207.01636854229693,LEC
12,192.40156220446946,188.32605622882946,LEC
13,264.62647991936643,268.3108275692368,RUS
14,301.32839006873706,305.92616778418176,RUS
15,318.70975440629076,322.83931144347827,RUS
16,258.9331778068751,252.39897798102945,LEC
17,198.3632415304536,193.1819448012719,LEC
18,267.8823243504754,265.5548143093657,LEC
19,302.42246344347825,307.6131939555556,RUS
20,317.9900999978109,322.2561724153576,RUS
21,304.8368069333333,300.67118257777776,LEC
22,199.95769989564192,198.31028719218378,LEC
23,258.75401157530865,263.53749929876545,RUS
24,299.8110618557082,302.36768279305255,RUS
