Minisector,RIC,ALB,Fastest
0,285.8899128633555,296.6048723160503,ALB
1,204.3184907972286,213.8346420580499,ALB
2,229.30063331470643,226.70146229242835,RIC
3,270.14713266996824,274.0897377491153,ALB
4,241.85030611696067,239.93670138758094,RIC
5,131.48899862729834,126.55862018278359,RIC
6,209.0348269619961,207.65787900376571,RIC
7,257.5945347049158,253.1198812612472,RIC
8,241.9563964514152,232.61596482653397,RIC
9,230.0555011646984,227.90263894201973,RIC
10,272.4553747559116,271.99120802321994,RIC
11,289.3907335205776,292.5179398679494,ALB
12,299.44845481058985,304.7613931088254,ALB
13,304.89595239619047,310.8597511296494,ALB
14,298.9607370565079,306.6669245710812,ALB
15,253.02570679175008,249.09482226814157,RIC
16,239.63947326960874,232.73316739199998,RIC
17,276.57753585546595,275.7795371167457,RIC
18,282.4660225890909,288.32420991788524,ALB
19,150.99674003907165,144.61278021411852,RIC
20,210.22464146584622,205.32164689893284,RIC
21,185.4690814998286,174.18637825381563,RIC
22,136.3568056222364,141.76342333021424,ALB
23,234.4648304378538,237.84085740495863,ALB
24,275.44515635232057,280.19172583298246,ALB
25,285.12999936,,RIC
