Minisector,HAM,BOT,Fastest
0,267.552176008582,265.85313983917,HAM
1,133.46762505749794,132.64810804272074,HAM
2,194.8335422574027,190.8997932464473,HAM
3,246.30176860438752,243.75711251485163,HAM
4,261.7596148395604,263.5838709578589,BOT
5,176.46139963506985,180.66554935587445,BOT
6,145.1617850255805,148.1370640546215,BOT
7,183.02818244376468,178.36121414016776,HAM
8,100.7812796862845,105.20187160171066,BOT
9,74.7632130385619,77.83307537712385,BOT
10,96.21234205631706,91.68738626925423,HAM
11,176.99671641160245,161.7235486295898,HAM
12,243.12269499082984,240.85249962666666,HAM
13,269.50960570843296,269.10986191826885,HAM
14,281.0648749631285,282.792570613798,BOT
15,114.54662901534178,138.93280450150067,BOT
16,139.35563747064455,115.34480221790088,HAM
17,183.0023015402533,194.03173026423576,BOT
18,188.90992188021673,183.01521831032073,HAM
19,207.17037030426462,224.15087317585602,BOT
20,129.4069919798756,130.54647286631393,BOT
21,111.86626946771993,132.06191912707558,BOT
22,90.60623087471161,84.88688923414946,HAM
23,190.3299661168619,180.07774015438596,HAM
24,249.00944334222223,247.18450204322465,HAM
25,,264.21249919999997,BOT
