Minisector,BOT,PER,Fastest
0,294.31989168818325,307.35356447411147,PER
1,297.1414357333333,313.30234469467786,PER
2,170.40572917003027,162.13814438941068,BOT
3,228.79174336397517,229.865346262956,PER
4,276.0233602950658,285.025252582491,PER
5,293.16980648841997,307.3446762666667,PER
6,299.24814820740744,312.4247684740741,PER
7,158.25573942992193,154.2684878835276,BOT
8,141.00400624211184,139.32020913862115,BOT
9,253.68841389192502,259.02107242666665,PER
10,285.91271893333334,296.688993981338,PER
11,297.3010049465707,296.3593789874326,BOT
12,147.25828423208281,139.2846954201738,BOT
13,206.71475423583541,204.73801230153427,BOT
14,264.7952016627354,264.58979194666665,BOT
15,203.88786735238094,202.13356418703177,BOT
16,226.64516726121974,226.44345307826086,BOT
17,215.4652085333333,217.7119857123129,PER
18,246.92209523155668,248.01354076874097,PER
19,277.68329307816975,279.02675497543856,PER
20,294.15342539386756,293.1473756152156,BOT
21,262.9709750566893,261.9849917897388,BOT
22,220.62733983962588,222.16929827386107,PER
23,213.6882331282619,215.06547968964412,PER
24,269.2094734809778,278.2530663847619,PER
25,282.0,,BOT
