Minisector,RIC,KVY,Fastest
0,330.4401903518286,328.3282150059422,RIC
1,345.77773629059726,344.2277775746032,RIC
2,354.6400595657143,344.8061508571428,RIC
3,214.65101976647406,192.92089659759768,RIC
4,114.06438898316948,120.51306036300267,KVY
5,263.9444697003173,265.39478577995357,KVY
6,301.58909978509445,300.8125734121306,RIC
7,320.01666676363635,308.3019927188406,RIC
8,285.46727838495315,267.7308704163265,RIC
9,145.9950447079028,145.6207646936517,RIC
10,222.1818169717217,216.43321160784313,RIC
11,215.1611975858379,214.83176170749365,RIC
12,196.38648888612022,198.89814862222224,KVY
13,267.0220124222169,268.7796628401712,KVY
14,307.0293545126294,303.5639579626667,RIC
15,322.3994943897445,311.68233022405707,RIC
16,264.077931654321,261.28222014285717,RIC
17,200.54355684079223,203.11998388129,KVY
18,267.34783976296296,272.9216337289377,KVY
19,307.0891075203159,306.5341299849275,RIC
20,322.67673162251083,316.9927536231884,RIC
21,313.73250440082813,295.7638949604171,RIC
22,207.37451375405217,206.86256563271283,RIC
23,259.0996216371178,266.228653249627,KVY
24,304.11682683076924,302.9374498031746,RIC
