Minisector,LAW,HAD,Fastest
0,289.0769258989051,297.79263271771094,HAD
1,160.62502477307493,160.36217993343635,LAW
2,164.99528355178683,161.58417593044987,LAW
3,231.9425233177957,225.94735323694363,LAW
4,288.870508667248,285.81825390732695,LAW
5,281.5731983978929,296.61511375254366,HAD
6,144.0331214740019,148.51068744268898,HAD
7,144.93511600438686,133.51286616568098,LAW
8,130.8709616617675,141.01085011118397,HAD
9,187.3480991090141,180.0435013295395,LAW
10,140.99334307834272,137.01882228264245,LAW
11,127.86753515438696,131.35181896169672,HAD
12,174.5033196135826,158.4062897568937,LAW
13,270.43073779485206,264.506789338068,LAW
14,293.90165538518255,292.42195097278045,LAW
15,152.37922089488472,149.83353144669297,LAW
16,202.7018915652661,212.98420821062695,HAD
17,179.84815190570203,168.76959428947833,LAW
18,273.1988176239287,267.51333997161265,LAW
19,294.9338487006781,294.78774993669566,LAW
20,310.10974175703956,309.21681531498785,LAW
21,317.19566742254887,318.01123464225,HAD
22,321.91765422337664,321.9481190938579,HAD
23,321.193248984103,325.62422461353384,HAD
24,310.1358280693957,322.0726591047989,HAD
25,,316.21338933197944,HAD
