Minisector,LEC,HAM,Fastest
0,267.61504096117216,265.17846689163656,LEC
1,244.04719215407408,256.71790133909343,HAM
2,153.02152207017716,169.76030167102442,HAM
3,250.8792870297724,249.40130895238096,LEC
4,275.51406235555555,271.4309178759141,LEC
5,187.3595461677699,197.524891625592,HAM
6,118.61432986083497,124.3360660908114,HAM
7,166.68252191349603,164.78557714801516,LEC
8,261.621333248,259.40149952,LEC
9,177.5336252778198,184.01396337152946,HAM
10,185.09797555809521,182.75535561142857,LEC
11,257.5287988585012,257.3726946818143,LEC
12,235.44360114285715,246.26064568498168,HAM
13,259.1809401279483,259.46821018147836,HAM
14,286.8655795478261,283.48297062028985,LEC
15,288.7651289564069,285.4972311005098,LEC
16,149.49856430477922,144.64786773728312,LEC
17,239.78323158284942,234.56780638238217,LEC
18,287.60308425281386,286.3713197506494,LEC
19,300.2676136242424,302.8581438060606,HAM
20,305.60782942182584,309.1244613151927,HAM
21,312.4914681687075,315.0817459301587,HAM
22,156.28385385151492,141.14632656291448,LEC
23,91.31352181418684,86.33266621318255,LEC
24,173.4913577080787,178.3823591871216,HAM
25,245.73333333333335,,LEC
