Minisector,HAM,HUL,Fastest
0,252.42858247576717,253.7697818669815,HUL
1,217.25157350054934,198.9211310412289,HAM
2,212.23309517774064,205.38835494965988,HAM
3,261.08416411048296,247.26924508635824,HAM
4,275.7139770888312,268.5982622708918,HAM
5,293.7094388716553,288.52230628675784,HAM
6,151.71400781185832,152.94040578935858,HUL
7,184.20616730048678,191.6170554084733,HUL
8,269.1179524549184,269.6138771220779,HUL
9,299.6913661563581,298.90265620109176,HAM
10,310.90522175657327,311.5193256164849,HUL
11,307.9747932635746,312.6970849699822,HUL
12,105.72915595617403,107.80315508627415,HUL
13,195.3665001877211,196.75160567536736,HUL
14,272.59449286852293,276.57091574549287,HUL
15,296.6069083555599,309.79870855610113,HUL
16,300.0354823774892,320.6717942404889,HUL
17,188.72672719504195,187.14506260620485,HAM
18,225.6146405185185,217.55587884510285,HAM
19,272.27250077605476,268.2690751883427,HAM
20,146.72802352756494,152.0700151099131,HUL
21,148.14220210108527,138.9733265563801,HAM
22,235.27973678470863,212.99453362802566,HAM
23,236.7992801025641,220.28325830162566,HAM
24,162.07515401319512,158.04998762901613,HAM
25,,225.7240127944917,HUL
