Minisector,BOT,RIC,Fastest
0,319.7487155729323,318.83753837754847,BOT
1,327.2125,326.5250000197531,BOT
2,323.8370699936508,321.6641516356525,BOT
3,167.34453977512507,174.32260051685972,RIC
4,140.01978873924799,136.1162229164021,BOT
5,271.47310970289703,268.8394498230008,BOT
6,302.02810759164976,300.0150977800866,BOT
7,315.2281250666666,307.6202082666667,BOT
8,249.51784271992773,255.54525966984127,RIC
9,156.3597515229451,155.80365021676747,BOT
10,224.86050862983322,223.41001927619047,BOT
11,232.23747350823774,232.63889703536418,RIC
12,210.57481695792904,206.31245853904056,BOT
13,279.19873238260874,274.5081525797101,BOT
14,310.0471175136869,306.65804756087033,BOT
15,316.6817981192982,315.07312496,BOT
16,260.91475595555556,254.5972655712956,BOT
17,215.5724509335409,215.3016709924757,BOT
18,277.9448055757576,277.5600112138528,BOT
19,308.58509902509945,307.78396305189756,BOT
20,321.7124060551379,316.09642858345865,BOT
21,306.2959092364648,294.4090929939394,BOT
22,219.52032028899833,213.5470068471973,BOT
23,273.5589885866329,268.7302126836959,BOT
24,306.2400794920635,303.3657879147392,BOT
