Minisector,VER,ZHO,Fastest
0,290.32400995822576,289.18463943962576,VER
1,300.6795483068939,299.0530176548572,VER
2,298.9438034697143,297.416398070704,VER
3,197.10203302860637,192.02340708320762,VER
4,211.05558206922825,207.4736996923392,VER
5,201.76679668693552,205.89068315033413,ZHO
6,263.72505476761904,263.9796486748331,ZHO
7,258.66576485256974,252.89219454984126,VER
8,218.35274945734264,212.61596614583934,VER
9,217.51697554324724,214.9481277161905,VER
10,141.09326521117524,141.09500795624794,ZHO
11,205.55908369058068,202.07639122083748,VER
12,187.23679246355087,187.81673429837488,ZHO
13,249.1734054129778,250.39370791130162,ZHO
14,189.13839972845244,182.5924860459137,VER
15,234.3719366352735,234.9964120667821,ZHO
16,279.10185453779053,279.84975330848863,ZHO
17,285.7369645836498,285.7887773461728,ZHO
18,280.74216689890466,275.90178015301586,VER
19,270.99377408304764,257.2815640568254,VER
20,267.43021530906395,258.1950710768405,VER
21,263.9432692773528,256.3266715239909,VER
22,235.12628806104888,236.4036188213714,ZHO
23,208.36152135547428,209.53431306911227,ZHO
24,269.156989249636,267.44955519457056,VER
25,,283.0612496,ZHO
