Minisector,RUS,ANT,Fastest
0,293.0363146577778,290.27443195967305,RUS
1,182.7785170512221,165.18404254627666,RUS
2,177.6093071883824,171.31991844000441,RUS
3,254.40618434650213,255.264927990325,ANT
4,284.39000699118924,287.5743527666612,ANT
5,244.81838810408806,252.7829704133609,ANT
6,229.50289136326532,224.0478802196788,RUS
7,159.27521939741678,152.7724371941061,RUS
8,224.12594705306043,233.973115642796,ANT
9,277.29444321622157,280.1627839806061,ANT
10,300.2754666061327,301.56203229678,ANT
11,309.85893294623224,312.55334161109437,ANT
12,313.95170949294857,318.16172443520924,ANT
13,310.7742843326984,314.85613867212277,ANT
14,129.27631042951953,125.30930925219728,RUS
15,120.24453821898395,120.68229769252497,ANT
16,101.0863192380507,102.49490455672179,ANT
17,230.89739143981137,231.7502761199093,ANT
18,283.15298736040097,283.7915552735462,ANT
19,303.4184799684177,305.24366194567904,ANT
20,313.03878183683213,316.7975649240485,ANT
21,314.7536039893333,320.2432858406295,ANT
22,135.09760995259384,129.4181419841151,RUS
23,203.984992840946,202.62680022332714,RUS
24,269.6440242982313,270.69359061244995,ANT
25,,286.4812496,ANT
