Minisector,RUS,COL,Fastest
0,278.0862911631221,283.39074055962476,COL
1,292.2957573947805,297.5659316085691,COL
2,275.82296282909095,275.8440488268607,COL
3,162.63376448296003,169.42309442439927,COL
4,112.5096786649018,114.54493986958038,COL
5,243.94814520817772,239.12150081176316,RUS
6,293.6654562574634,286.30445303081416,RUS
7,296.57479907214724,294.37693747658403,RUS
8,170.05325292925752,176.07337223988358,COL
9,133.64231490002177,130.70264319188703,RUS
10,254.50193493501223,246.73864118627463,RUS
11,292.939840296353,291.67892402283707,RUS
12,293.25016321091465,293.84318351619044,COL
13,276.58599506981363,264.3863619303619,RUS
14,290.23741319947874,282.0492412251088,RUS
15,282.67618699364516,279.3264242715151,RUS
16,240.00442614627303,242.68176535736262,COL
17,222.80438661762406,208.80646609773976,RUS
18,282.7943443650794,268.57581597074096,RUS
19,304.66994704448587,295.0376416064227,RUS
20,301.59751619530823,298.038750144,RUS
21,235.33978933634074,220.88413959202688,RUS
22,232.3608654157295,229.26570610609272,RUS
23,134.9017540194843,134.6696411547619,RUS
24,206.78241279284774,196.35891216994318,RUS
25,259.5750016,255.9000007111111,RUS
