Minisector,RUS,RIC,Fastest
0,294.6940392514286,284.11583521737214,RUS
1,305.07986812517004,288.41541498311113,RUS
2,154.46796312756683,157.2134997095164,RIC
3,224.61853637460317,220.65885996576898,RUS
4,276.6893236395568,269.30313464701754,RUS
5,302.1687733233333,289.5833957131628,RUS
6,312.20750016,296.46820048048227,RUS
7,165.5120160264285,191.5611742680639,RIC
8,128.6776364755748,122.87967631574601,RUS
9,251.88154819428573,244.31832246886552,RUS
10,286.30313506807016,280.79466693551626,RUS
11,291.7055695490909,293.4123201022222,RIC
12,136.248397626582,141.02981000341993,RIC
13,187.06701222902686,182.36463479988456,RUS
14,248.23417842205512,254.24205401656687,RIC
15,200.38855475776904,201.07928169965714,RIC
16,219.505587584,219.87519096678318,RIC
17,212.76541940868483,202.81925648176676,RUS
18,239.29303884425485,234.74610530491836,RUS
19,270.87749913680676,272.1774679388454,RIC
20,286.89032191087347,290.16134515777776,RIC
21,261.89500196977286,259.9517064856335,RUS
22,229.6971326105176,221.48981769567476,RUS
23,201.81026612596378,190.9518294150929,RUS
24,258.66156635789474,254.11483852051188,RUS
25,,276.0437488,RIC
