Minisector,NOR,GAS,Fastest
0,280.3678302693428,293.3296253631862,GAS
1,297.06990300416334,315.81542425767407,GAS
2,293.6058928304762,304.0803644062338,GAS
3,179.8584346968978,176.4275828362056,NOR
4,215.85385607628862,211.5541738722033,NOR
5,202.7629560207663,195.98405565622323,NOR
6,180.8539036241903,171.45710993054308,NOR
7,202.99314155291657,198.46563091559378,NOR
8,256.06271517719415,251.57295169145166,NOR
9,269.10138423596044,254.910201666023,NOR
10,169.66634325841218,165.357422216895,NOR
11,238.7482314756765,230.0766936483528,NOR
12,113.33405150978051,115.25095738751217,GAS
13,218.39925474528027,221.4016292630666,GAS
14,274.3270505720146,275.16965975983436,GAS
15,292.46985029841267,285.7009092654546,NOR
16,219.43354085436752,204.78093336304522,NOR
17,185.50417932222527,179.73260135394113,NOR
18,264.4041595198984,265.1303397574051,GAS
19,290.49214803371905,289.3375653117924,NOR
20,302.25728390977446,300.2977712568405,NOR
21,301.45232782608696,302.1551700854422,GAS
22,253.3646294453928,275.1355175520922,GAS
23,117.40578351800926,111.88091918933934,NOR
24,235.9542690676187,232.18679294215752,NOR
25,267.8625024,266.6937498666667,NOR
