Minisector,PIA,OCO,Fastest
0,294.8250775026455,289.71918861754386,PIA
1,300.53209557909224,297.0332808257143,PIA
2,161.56704089489176,160.54552196185148,PIA
3,223.30760598152125,220.70227197071895,PIA
4,279.1006942532628,274.29378303528387,PIA
5,309.90722572284466,291.8034076952381,PIA
6,318.2020384866558,297.85794637714287,PIA
7,163.84423013398268,164.4882643389322,OCO
8,134.52900933754086,130.45750523697384,PIA
9,254.70982395705627,248.2348929371429,PIA
10,298.37084754294443,284.96260015733833,PIA
11,307.4201771228466,294.8186272627451,PIA
12,142.92263831283287,136.65799766160993,PIA
13,190.7451268718198,191.63480354201224,OCO
14,256.60525914164805,257.3577154707996,OCO
15,201.21151215901244,195.05661737691375,PIA
16,218.096707776,214.00559523809522,PIA
17,219.2154326010158,203.2434990947034,PIA
18,248.26233265198096,239.78661055733548,PIA
19,279.65342496925285,276.00350226198015,PIA
20,295.2196364362696,291.55660619915653,PIA
21,260.40965069485713,247.21352367893633,PIA
22,222.38201312137,216.49810237824542,PIA
23,205.0471583040747,190.53268767687445,PIA
24,270.5443159563772,263.7382907728485,PIA
