Minisector,VER,STR,Fastest
0,290.31069288018887,307.3824065777778,STR
1,299.86979173333333,325.176077934156,STR
2,302.77361114074074,336.87303915742297,STR
3,290.418319648128,315.4351880888889,STR
4,169.18884743529412,165.15354189922678,VER
5,213.75527796187913,206.17316914003527,VER
6,236.77428108571428,235.5320483110707,VER
7,264.3414927439844,267.1994041904762,STR
8,251.0856788858497,251.97490318975804,STR
9,167.38502137551873,163.12628614260706,VER
10,226.9818852251062,227.88822902002994,STR
11,138.44677172081532,130.21534552534305,VER
12,228.60716733866667,232.1033369451578,STR
13,198.09186935592354,184.56224056666667,VER
14,215.8737665185185,226.88134958481766,STR
15,235.61294023857388,241.38959661449277,STR
16,259.358323543688,261.01341736744405,STR
17,279.6847222349206,284.1382443047619,STR
18,130.17932136581254,119.28242073532954,VER
19,164.0348945507796,160.40141800740741,VER
20,150.6002849367125,149.9411290613569,VER
21,165.36862191168746,152.33067962259423,VER
22,118.49740470153156,120.11690405738602,STR
23,228.8026197942857,231.8859039024762,STR
24,269.31178340460474,272.01567395555554,STR
