Minisector,SAI,RUS,Fastest
0,270.69985987465424,270.58450916492916,SAI
1,290.5658964526611,290.07796853602423,SAI
2,298.8521382163261,295.15357124010023,SAI
3,123.2010467658935,123.52079298061538,RUS
4,191.57715745185183,194.46888737042445,RUS
5,254.5928678235818,252.07499671869132,SAI
6,139.1792252936531,136.30369493827328,SAI
7,202.77408240437936,201.19782561379628,SAI
8,257.1785705650794,257.358560522449,RUS
9,278.85581157427913,276.1026914792344,SAI
10,231.83392788210537,229.09732841217934,SAI
11,177.70378636413727,170.41149476270772,SAI
12,191.97534571168066,188.69416865563136,SAI
13,147.26549301445584,141.92395467271768,SAI
14,175.98634830131368,178.97583281777779,RUS
15,162.78287560258667,161.0052321834868,SAI
16,216.28885426481452,217.11966685866668,RUS
17,230.4461092789843,228.692090847043,SAI
18,236.87563681135626,233.8243056,SAI
19,239.5113662060606,227.26898530807327,SAI
20,139.16747385530928,141.69348859302636,RUS
21,133.54093156078056,131.4484290562993,SAI
22,171.67499896888887,170.1137629582344,SAI
23,146.55897464456476,145.6498487847475,SAI
24,229.03100030476193,228.42470183745766,SAI
