Minisector,NOR,OCO,Fastest
0,295.7256677401058,293.47519429549317,NOR
1,302.96899558136323,300.48229376822485,NOR
2,209.40422784945687,215.99428390060604,OCO
3,132.76641060057977,131.71873747553656,NOR
4,218.98689124363636,218.20999903942277,NOR
5,165.42857323177032,168.58402945106198,OCO
6,170.23739737904762,164.0666059779123,NOR
7,248.17548141188763,245.88549309495875,NOR
8,277.833567398254,275.0585727345658,NOR
9,287.08136888380955,283.99081840761903,NOR
10,261.66216065885266,267.6617923785894,OCO
11,240.8790772,245.79212301714287,OCO
12,242.87189533778943,246.84417636601307,OCO
13,210.69012722782608,205.43924815852958,NOR
14,126.78980558389115,133.22559653970507,OCO
15,144.53081179456515,139.62807726023377,NOR
16,165.870821201297,167.9850618460512,OCO
17,250.38632845968255,244.8143741731217,NOR
18,251.80919494603177,253.13819120859014,OCO
19,116.01339640191387,117.90290257787882,OCO
20,182.14504036044343,186.08527107615183,OCO
21,203.4176090627087,199.7254768188766,NOR
22,230.0662861347939,219.8710245855238,NOR
23,271.5144921501086,258.3193834029588,NOR
24,294.4780614205291,277.7024842594713,NOR
25,305.11500032,288.28249983999996,NOR
