Minisector,NOR,MAG,Fastest
0,274.75472158776336,271.51904759480516,NOR
1,292.9058367216971,292.27305886489967,NOR
2,292.803332418355,292.84906415788356,MAG
3,169.53534308098514,169.10362532010026,NOR
4,116.98481762666768,115.30862717330842,NOR
5,233.83825422593856,233.47290565443637,NOR
6,287.95131092487094,275.80813081882354,NOR
7,303.2100790707644,289.37334882724457,NOR
8,168.38659207687687,180.01298502334268,MAG
9,135.35426136140646,134.02951742761766,NOR
10,245.05446676135824,246.64168772253956,MAG
11,285.3954384484941,284.2746920003778,NOR
12,291.34082536098356,293.54849538180724,MAG
13,266.56930057200776,270.68628730039444,MAG
14,288.3774294634243,288.57561008250514,MAG
15,290.9639130323428,292.3298046729996,MAG
16,236.19751109348337,244.21861437413162,MAG
17,218.60065166766438,211.84807888158983,NOR
18,279.8767297423378,268.60834273166773,NOR
19,313.1144119216204,291.49592953919074,NOR
20,317.8472166213244,298.1385068537846,NOR
21,226.61879999577923,235.35828117680242,MAG
22,257.3827177491597,252.92083832698412,NOR
23,128.3372801363537,141.90503352117008,MAG
24,216.42509125728722,197.07712464875704,NOR
25,,253.26203662222224,MAG
