Minisector,BOT,NOR,Fastest
0,315.83664023703705,289.17187504,BOT
1,242.90601878437383,209.9149095013278,BOT
2,153.22445160550447,142.9749654772487,BOT
3,228.0376110131757,221.07792902273073,BOT
4,161.04537011131245,154.58785846857143,BOT
5,174.330931816159,175.74395953135874,NOR
6,250.67961621469368,247.30178453333332,BOT
7,273.6975002666667,269.35617877188207,BOT
8,277.4549392655999,277.3311402105263,BOT
9,258.93052941646266,251.96686628571427,BOT
10,243.41131022222223,240.4856224106553,BOT
11,242.7907936507669,241.5825771151515,BOT
12,213.94086260380703,206.23950083048047,BOT
13,148.9272411477657,140.72029914628476,BOT
14,159.61672854597555,149.57683238233557,BOT
15,193.02278358601686,186.5327358419753,BOT
16,260.93871084632826,253.94274097603522,BOT
17,245.60219861251682,247.56615647445886,NOR
18,119.37121041368434,112.75806735886525,BOT
19,199.87884508717949,196.15308412839508,BOT
20,184.20430583434373,193.27167178758518,NOR
21,204.89265928937039,232.56412911304346,NOR
22,250.49598343411157,259.3739362301091,NOR
23,272.8367818142353,274.79205702036285,NOR
24,287.96988081523807,285.2899120842105,BOT
25,,289.0,NOR
