Minisector,PIA,ANT,Fastest
0,282.296441105581,283.09225110926405,ANT
1,298.02225464339267,302.2487745246753,ANT
2,236.75453922203857,239.97642688321832,ANT
3,119.44300951041421,118.58323266249505,PIA
4,132.45805626638557,130.29623368145602,PIA
5,254.9199146955225,249.33761262960954,PIA
6,264.7268761066667,270.7949410660652,ANT
7,121.58218720065825,125.33102862080831,ANT
8,244.88698290715445,241.64152218884436,PIA
9,258.7615845613766,253.83228008527473,PIA
10,218.227270784015,211.42941989936747,PIA
11,140.36130188093017,140.60073413859382,ANT
12,203.45205855256427,203.08459275275447,PIA
13,266.76223325990003,267.48391401445946,ANT
14,117.14021628639948,121.52533919020293,ANT
15,192.95760804503269,193.35075592628084,ANT
16,260.75992379848174,261.59326681904764,ANT
17,290.287520827232,291.8332663809129,ANT
18,302.61809018962964,306.15190490819043,ANT
19,310.19804749321787,312.3901304639488,ANT
20,313.61251321227513,315.43631216842107,ANT
21,152.46468154116062,172.6918401748056,ANT
22,163.7626058650719,139.08230317027204,PIA
23,207.33322824070234,207.54361447955543,ANT
24,238.27661096921153,235.18413000767595,PIA
25,,268.75000177777775,ANT
