Minisector,LEC,BOT,Fastest
0,273.2762166013288,276.9809084471609,BOT
1,294.2146215539859,296.6586667093333,BOT
2,292.4602431111111,292.555539770812,BOT
3,185.37425994016036,185.2952442555558,LEC
4,117.8400643793884,119.86469431585638,BOT
5,234.72300783184468,235.49785051499492,BOT
6,281.3054283152009,283.36986325038936,BOT
7,295.3149998506667,290.21283255466665,LEC
8,181.11241192977735,179.14481528093376,LEC
9,141.4756435942378,139.09953197345445,LEC
10,247.9164006568981,250.39864573548658,BOT
11,285.05200042666667,288.37319253984987,BOT
12,296.3489098122863,298.2876732888889,BOT
13,276.5852843548992,278.38408875018314,BOT
14,293.5773067936508,294.43725165640103,BOT
15,296.6009080448169,292.3334994773333,LEC
16,257.94798753103447,250.07106082294055,LEC
17,221.17925484675587,221.9319859764706,BOT
18,275.5148154469136,276.6900651798775,BOT
19,296.6404115605887,298.8330002773333,BOT
20,303.2506665386667,298.1639562180665,LEC
21,234.70373993766756,232.28080736374687,LEC
22,261.31439179561346,257.793227802246,LEC
23,137.66222867357038,138.86783164096352,BOT
24,208.54706481818283,213.5760170064845,BOT
25,254.3250048,,LEC
