Minisector,LEC,RUS,Fastest
0,292.17643759741173,290.06673802423495,LEC
1,304.6248637714286,302.14850450486983,LEC
2,312.6420571168337,309.67848058612793,LEC
3,313.7673808457143,308.01317141421345,LEC
4,197.49731491111817,189.38926089116157,LEC
5,220.45377277573192,222.95415666296253,RUS
6,267.92400184128337,269.61781620451126,RUS
7,263.50723185497077,258.7135641324899,LEC
8,194.3428380233745,192.3140740623507,LEC
9,146.68815414383542,144.06919449479193,LEC
10,177.32561975876095,180.04537235309516,RUS
11,261.928453430303,263.06102940082053,RUS
12,249.53036949840157,243.74218092066158,LEC
13,233.5087205231746,226.55684637866668,LEC
14,273.2553551743823,273.0238004730545,LEC
15,163.83554680517832,166.68104264349208,RUS
16,218.17952387047617,219.82774966439698,RUS
17,234.81248865876748,244.4981677606349,RUS
18,131.0599266713173,132.40202899696388,RUS
19,243.97744793476585,244.96801034387244,RUS
20,285.08333730844447,286.0009146883919,RUS
21,239.27020823390475,249.56500928831167,RUS
22,140.9880694827602,140.94302829264834,LEC
23,213.30291847619048,216.8495473634142,RUS
24,269.08541409740235,273.7702909016191,RUS
25,283.0,286.0590917818182,RUS
