Minisector,BOT,GIO,Fastest
0,295.1484610318559,293.7596588121212,BOT
1,305.5606515328321,305.91636737288115,GIO
2,310.34765022892225,311.38201784475405,GIO
3,310.77258773333335,310.7497807719298,BOT
4,211.49549333383248,196.34583678336307,BOT
5,229.60329205489566,219.63951834013605,BOT
6,273.69504044535705,267.8988021301904,BOT
7,281.28709659399584,273.02588085134573,BOT
8,199.37137114838708,193.26659689182594,BOT
9,161.20868614150945,159.40534415417596,BOT
10,194.61817808631315,183.30524067795838,BOT
11,266.00925647026065,260.5014487188406,BOT
12,260.7577906285714,254.5205506059636,BOT
13,237.92212163444353,226.89644969876542,BOT
14,279.0037876363636,273.757559931659,BOT
15,185.98270672555935,178.44272879457884,BOT
16,228.28564732839507,216.2913076905755,BOT
17,249.7561639100539,254.58924746463683,GIO
18,143.10077933837928,135.16036324050538,BOT
19,247.8044889198157,237.09406945641027,BOT
20,285.3550862822511,278.2055684590021,BOT
21,258.94321277518713,273.8392221019864,GIO
22,153.34130679197727,144.93925135447535,BOT
23,221.4375908549671,200.77519084248405,BOT
24,277.22865217662337,269.1347480374599,BOT
25,289.52916693333333,285.52499911111113,BOT
