Minisector,OCO,STR,Fastest
0,304.8300306217989,292.15023447333334,OCO
1,212.63717159695238,225.0488950811944,STR
2,129.2361156007874,131.10912938194005,STR
3,218.50114088877845,211.16302803751327,OCO
4,262.7416516967313,259.1392307082251,OCO
5,285.78631952748486,285.23981412063495,OCO
6,298.62224696190475,298.48961723117606,OCO
7,251.83096997345015,267.7533527967347,STR
8,164.35343368926127,164.9986186411865,STR
9,238.97318410831,233.062776608,OCO
10,267.67923364495306,268.2701398151871,STR
11,259.41114416342856,259.80107880602793,STR
12,206.08687763929495,207.2143622360494,STR
13,124.78831915566998,119.79466822513609,OCO
14,121.22991435649702,124.20355917712622,STR
15,152.8532840853855,159.10424595827664,STR
16,120.40558385773649,122.78249330102881,STR
17,223.81674285507762,222.16280481596374,OCO
18,162.46131897278306,184.7559192852971,STR
19,157.45611364659442,152.20497358867655,OCO
20,241.64994785862433,239.85123661414568,OCO
21,269.73774393019744,268.4677706421164,OCO
22,289.47209371897435,286.31571387697477,OCO
23,298.6150343911111,296.9687107766667,OCO
24,305.60296247097347,302.4173706632442,OCO
25,307.68421033969975,304.87083306666665,OCO
