Minisector,KVY,RUS,Fastest
0,311.47388949333333,304.13377677294363,KVY
1,325.8792291185298,314.8410256410256,KVY
2,334.7996795897436,321.4274460731472,KVY
3,334.578621031746,316.6509613538461,KVY
4,187.84008581035195,198.523974591603,RUS
5,95.44671467591826,104.54542029151477,RUS
6,201.06884656977118,212.68218587439387,RUS
7,259.8893587256982,259.60413302507106,KVY
8,295.4538892088889,283.6855560838095,KVY
9,298.54813227933914,289.36587836988264,KVY
10,144.32030120970305,152.70292292439404,RUS
11,168.20176447179486,185.0862480784146,RUS
12,239.43948654318925,243.91250017703084,RUS
13,235.03516011265552,243.56149917234774,RUS
14,142.81199224527398,157.47833737737972,RUS
15,205.40432488082388,218.51125047365082,RUS
16,259.6620099764706,263.15430491470863,RUS
17,283.5374880970257,282.76109094402887,KVY
18,294.77527800888885,293.75450701496595,KVY
19,300.5737967347358,297.7883332266667,KVY
20,281.28122820402115,288.0034721495622,RUS
21,145.43855717211602,160.06507786933193,RUS
22,203.79655792332886,208.30483316704436,RUS
23,261.526328144895,257.4975497411765,KVY
24,292.12440540952383,282.9516923219318,KVY
25,304.8250016,292.04999999999995,KVY
